	Term	p-value	z-score	CS	Related Genes
1	TAL1_ChIP-Seq_PRIMARY FETAL LIVER ERYTHROID _Mouse	5.35e-87	-1.53	295.61	OTUD5, RPL3, CMAS, TFRC, ARL6IP1, SLC4A1, UBE2L6, AQP1, RABGEF1, UROD, FTH1, RNF19A, 5730469M10RIK, HIST1H2AD, HIST1H2AG, HIST1H2AF, TMEM14C, MAP2K3, TMOD1, BNIP3L, PAQR9, 2810453I06RIK, HIST1H2AN, HIST1H2AI, HIST1H2AH, DAPK2, IFRD2, ARRDC3, RFX2, GTPBP2, PRKAB1, CARHSP1, KEL, PSME3, BOLA3, SPNB1, IGTP, TXNIP, ABCG4, GYPA, TBCEL, FECH, GYPC, MGST3, ABCB4, SAMSN1, 2700029M09RIK, UGCG, ARHGAP21, UBB, PRKAR2B, FIGNL1, ST3GAL5, SLC38A5, HIST1H3E, KLHDC2, CDT1, UBE2H, SIVA1, H3F3B, GADD45A, UROS, STARD10, IRGM1, ASNS, MT1, SFRS2, AW146242, UBAC1, ISG20, 1700037H04RIK, DARC, EIF5, PQLC1, SLC6A9, TMCC2, GCLM, GSTM5, ALAS2, AHCTF1, CLIC4, FEN1, LDB1, ALAD, HEBP1, NPTN, ERMAP, TAPT1, CTSB, HIST1H1C, 2700097O09RIK, KLF13, SPHK1, 1190002H23RIK, GLRX5, H2AFX, ATPIF1, TUBB2C, 5730593F17RIK, TFDP2, MCM4, BIRC5, BLVRB, HAGH, CD47, ARF5, ANK, HEMGN, WBP2, ODC1, NT5C3, TRAK2, DNAJB2, DNAJB1, BTAF1, CD59A, LMNA, ACSS1, RBM38, CAR2, FAHD1, SMOX, SEMA4B, HNRNPAB, SOD1, KLF1, CSDA, GFI1B, KLF9, RHAG, NCAPD3, AGRN, SSBP3, GRINA
2	EKLF_ChIP-Seq_ERYTHROCYTE_Mouse	4.99e-68	-1.62	242.31	RPL3, CD82, UBE2L6, ICAM4, SLC4A1, GHITM, MKI67, AQP1, TUBB5, RPS16, UROD, 5730469M10RIK, NUSAP1, HIST1H2AF, TMOD1, 2810453I06RIK, RPS8, DAPK2, RFX2, AP1B1, GTPBP2, ANK1, THOC4, THOC7, MORF4L2, RPL24, TRIM10, GYPA, TBCEL, FECH, MGST3, MRPL14, ADIPOR1, PRDX2, UGCG, NUP85, ST3GAL5, FN3K, PRNP, NFE2, CDT1, UBE2H, SIVA1, PHF10, GADD45A, EIF2AK1, ASNS, MT1, 2900010M23RIK, RPS26, 1810022K09RIK, SLC6A9, MAFG, RANBP10, UBE2O, TMCC2, GCLM, RPS24, ALAS2, DYRK3, FEN1, LDB1, MCM7, PIGQ, CETN3, FTL1, RPLP2, JOSD2, EEF1G, TFDP2, TAX1BP1, BLVRB, MCM4, MCM5, HAGH, MNS1, MCM2, HEMGN, WBP2, SLC43A1, DLST, PPOX, TSPAN33, NT5C3, TRAK2, FZR1, CD59A, E2F2, ACSS1, SNCA, RBM38, CAR2, TXNRD2, SMOX, SEMA4B, PDZK1IP1, SLC25A37, SH3YL1, SLC25A39, GRINA
3	GATA1_ChIP-Seq_MEL_Mouse	9.02e-61	-1.58	211.05	OTUD5, ISCA1, CMAS, CD82, HBB-B2, BC022224, ICAM4, SLC4A1, UBE2L6, APEH, COMT, AQP1, SAMD14, PSMD4, FNTB, 5730469M10RIK, TMEM14C, TMOD1, BNIP3L, PAQR9, USP7, DAPK2, RFX2, PRKAB1, ANK1, HIST2H3B, KEL, BOLA3, SPNB1, TXNIP, TRIM10, ATF4, GYPA, TBCEL, FECH, GYPC, MGST3, ENDOD1, ADIPOR1, 2310003F16RIK, PRDX2, PRKAR2B, ST3GAL5, PSMF1, SPECC1, NFE2, SIVA1, GADD45A, UROS, EIF2AK1, MT1, DARC, COL5A1, SLC6A9, RANBP10, ANP32E, TMCC2, PSCD3, ALAS2, DYRK3, LDB1, PIGQ, ALAD, MYD116, CTSE, BCAS2, TAPT1, 2700097O09RIK, GPX1, GLRX5, NIPA1, 5730593F17RIK, PACS2, 2310022B05RIK, BLVRB, HAGH, CD47, ANK, HEMGN, WBP2, ODC1, SLC43A1, PPOX, CLCN3, TSPAN33, NT5C3, TRAK2, 4930570C03RIK, FZR1, LMNA, E2F2, ACSS1, SNCA, RBM38, CAR2, CAR1, FAHD1, TXNRD2, SEMA4B, GINS4, PDZK1IP1, KLF1, SLC25A38, HDGF, RHAG, 3300001G02RIK, SSBP3, BAT5
4	KLF1_ChIP-Seq_FETAL-LIVER-ERYTHROID_Mouse	1.59e-41	-1.79	161.35	ALAS2, RNF11, CD82, SLC4A1, HBA-A1, HS6ST1, HEBP1, SAMD14, RNF19A, SEC61G, 5730469M10RIK, CTSB, USP7, KLF13, 2810453I06RIK, GPX1, RSAD2, PABPC4, DAPK2, 1190002H23RIK, LMO2, PRKAB1, ANK1, KEL, PSME3, CYB5, BLVRB, CD47, TRIM10, ARF5, ANK, HEMGN, GYPA, CCDC23, GYPC, WBP2, MGST3, SLC43A1, RPS27L, MRPL14, NT5C3, DEDD2, FAM132A, PRDX2, DNAJB1, UGCG, UBB, LMNA, E2F2, CDR2, FN3K, KLHDC2, NFE2, 3110056O03RIK, SIVA1, SMOX, EIF2AK1, BSDC1, LSM4, UBAC1, KLF1, SLC25A38, SH3YL1, 2210023G05RIK, GFI1B, CSDA, SLC6A9, LPCAT3, HDGF, SERINC1, TMCC2, GRINA
5	GATA2_ChIP-Seq_K562_Human	2.26e-28	-2.13	128.25	OTUD5, RNF10, ALAS2, CLIC4, FEN1, CMAS, TFRC, LDB1, CD82, ARL6IP1, SLC4A1, NUDT4, AQP1, RABGEF1, UROD, FTH1, FNTB, TLK1, HMGN2, LBR, ERMAP, CTSB, TMEM14C, MAP2K3, TMOD1, BNIP3L, PAQR9, GPX1, RSAD2, LMO2, ATPIF1, RFX2, PRKAB1, ANK1, KEL, TFDP2, TAL1, ALDH1A1, BLVRB, PABPC1, HEMGN, FECH, GYPC, ENDOD1, BHLHB2, PPOX, CLCN3, ADIPOR1, TSPAN33, SAMSN1, DEDD2, TRAK2, DNAJB2, FZR1, TSPAN8, FIGNL1, E2F2, RHBDL2, SPECC1, RBM38, NFE2, CDT1, UBE2H, FAHD1, H3F3B, GADD45A, UROS, BSDC1, PDZK1IP1, UBAC1, KLF1, SLC25A37, GFI1B, SLC6A9, MKRN1, KLF9, UBE2O, HDGF, RHAG, TMCC2, SSBP3
6	MYC_ChIP-ChIP_MESC_Mouse	1.07e-49	-1.18	127.57	RPL3, TFRC, ARL6IP1, ATP5C1, ICAM4, HS6ST1, EEF1B2, RPS16, TUBB5, UROD, FTH1, FNTB, NUSAP1, KNTC1, HIST1H2AF, MAP2K3, HIST1H2AN, HIST1H2AI, HIST1H2AH, RPS8, IFRD2, RPL23, GTPBP2, THOC4, HCFC1, NGFRAP1, PSME3, HAT1, RPL24, ANAPC5, UBA52, ATF4, GGNBP2, MGST3, COX17, CDCA8, 2310003F16RIK, PRDX2, CCNB1, UBB, NUP85, FIGNL1, SLC38A2, NDUFV1, HIST1H3E, HSPA8, CDT1, RPL41, SLMO2, SIVA1, H3F3B, ASNS, MT1, SFRS2, LSM4, SFRS1, RPS26, 1700037H04RIK, EIF5, SLC6A9, PQLC1, RPS29, MAFG, MKRN1, ANP32E, SERINC1, GCLM, RPS24, AARS, RNF10, AHCTF1, CLIC4, DYRK3, FEN1, MCM7, LDB1, CETN3, HIST2H2AB, ALAD, RPL7A, TUBA1B, FTL1, MYD116, NPTN, RPLP2, TLK1, BCAS2, GPX1, ATP6AP1, GLRX5, PABPC4, H2AFX, ATPIF1, RPS3A, RANGAP1, TUBB2C, 5730593F17RIK, NDUFS7, EEF1D, MCM4, MCM5, MCM6, PABPC1, HAGH, MCM2, UHRF1, ODC1, RPL36A, RPS27L, CLCN3, NT5C3, CENPA, DNAJB1, E2F1, RPS2, RBM38, FAHD1, RIOK3, GINS4, RPA1, ORC6L, DEK, COX6C, SOD1, CSDA, PHF5A, SLC25A39, KLF9, CENPL, HDGF, NCAPD3, 3300001G02RIK, SSBP3
7	GATA1_ChIP-Seq_K562_Human	1.83e-23	-2.57	127.45	HEMGN, DYRK3, TFRC, ARL6IP1, ETFA, SLC4A1, CLCN3, PPOX, ADIPOR1, TSPAN33, SAMSN1, DEDD2, AQP1, DNAJB2, TUBA1B, PRKAR2B, UROD, FIGNL1, FTH1, TLK1, HMGN2, LBR, ERMAP, CTSB, RBM38, BNIP3L, NFE2, CDT1, UBE2H, RSAD2, GADD45A, LMO2, BSDC1, PDZK1IP1, PRKAB1, ANK1, UBAC1, KLF1, SLC25A37, GFI1B, KEL, SLC6A9, TFDP2, TAL1, KLF9, UBE2O, BLVRB, TMCC2
8	MYC_ChIP-ChIP_MESC_Mouse	2.22e-41	-1.39	124.64	RPL3, TFRC, ARL6IP1, ATP5C1, BC022224, EEF1B2, TUBB5, FNTB, NUSAP1, TMEM14C, MAP2K3, PAQR9, RPS8, IFRD2, RPL23, GTPBP2, PRKAB1, THOC4, HCFC1, HIST2H3B, MORF4L2, PSME3, RPL24, UBA52, ATF4, CDCA8, ADIPOR1, 2310003F16RIK, DEDD2, PRDX2, CCNB1, UBB, NUP85, CDT1, RPL41, H3F3B, UROS, EIF2AK1, ASNS, MT1, SFRS2, LSM4, 2900010M23RIK, SFRS1, RPS26, 1700037H04RIK, EIF5, SLC6A9, RPS29, MKRN1, SERINC1, RPS24, AARS, RNF10, AHCTF1, DYRK3, FEN1, MCM7, LDB1, MRPS12, CETN3, ALAD, RPL7A, FTL1, MYD116, SEC61G, RPLP2, LBR, BCAS2, 2700097O09RIK, KLF13, GPX1, GLRX5, H2AFX, ATPIF1, RPS3A, KIF22, RANGAP1, EEF1G, TUBB2C, 5730593F17RIK, EEF1D, 2310022B05RIK, MCM4, MCM5, MCM6, MNS1, PABPC1, HAGH, UHRF1, ODC1, RPL36A, RPS27L, DLST, CLCN3, NT5C3, DNAJB1, FZR1, RPS2, RBM38, 3110056O03RIK, FAHD1, RPA1, ORC6L, SOD1, SLC25A37, CSDA, PHF5A, SLC25A39, PRC1, KLF9, CENPL, HDGF, 3300001G02RIK, BAT5
9	MYC_ChIP-ChIP_MESC_Mouse	9.63e-27	-2.0	113.42	RB1, RPL3, LDB1, MCM7, ATP5C1, ICAM4, ALAD, EEF1B2, RPL7A, TUBB5, RPS16, RPLP2, 1300017J02RIK, BCAS2, GPX1, ATP6AP1, RPS8, RPL23, ATPIF1, DNTTIP1, RPS3A, GTPBP2, THOC4, EEF1G, PSME3, MORF4L2, BIRC5, TXNIP, RPL24, HAGH, UBA52, ODC1, RPL36A, CDCA8, RPS27L, 2310003F16RIK, DEDD2, CCNB1, NUP85, FIGNL1, LMNA, RPS2, SLC38A2, HSPA8, 2510006D16RIK, RPL41, EIF2AK1, DEK, SFRS2, COX6C, SOD1, RPS26, TUBA6, EIF5, SLC25A39, PHF5A, RPS29, KLF9, ANP32E, HDGF, RPS24, AARS
10	E2F1_ChIP-Seq_MESC_Mouse	3.74e-43	-1.15	107.5	RPL3, ARL6IP1, ATP5C1, GHITM, COMT, NUDT4, EEF1B2, RPS16, TUBB5, UROD, FTH1, FNTB, 5730469M10RIK, NUSAP1, PSMD1, HMGN2, TMEM14C, USP7, HIST1H2AH, RPS8, IFRD2, APLP2, ARRDC3, HCFC1, 1810027O10RIK, CARHSP1, MORF4L2, SPNB1, TXNIP, RPL24, ANAPC5, ATF4, FECH, COX17, BHLHB2, CDCA8, 2310003F16RIK, PRDX2, PRKAR2B, FIGNL1, PSMF1, NDUFV1, HSPA8, PRNP, CDT1, RPL41, H3F3B, GADD45A, UROS, SFRS2, LSM4, SLC6A9, PQLC1, MKRN1, RANBP10, ANP32E, SERINC1, SERINC3, RPS24, RNF10, CLIC4, FEN1, MCM7, LDB1, PIGQ, MRPS12, CETN3, ALAD, HEBP1, RPL7A, TUBA1B, FTL1, MYD116, RPLP2, TLK1, BCAS2, HIST1H1C, CTSB, GPX1, ATP6AP1, H2AFX, ATPIF1, NIPA1, RPS3A, PLRG1, KIF22, DYNLL1, RANGAP1, EEF1G, TUBB2C, 5730593F17RIK, NDUFS7, EEF1D, TAX1BP1, BLVRB, MCM6, MCM2, UHRF1, WBP2, ODC1, RPL36A, RPS27L, DLST, CLCN3, DNAJB1, 4930570C03RIK, BTAF1, FCHO1, LMNA, WBP5, RPS2, RBM38, FAHD1, GINS4, RPA1, HRAS1, ORC6L, DEK, COX6C, SOD1, SLC25A38, CSDA, PHF5A, ST5, PRC1, RPA3, KLF9, NCAPD3, 3300001G02RIK
11	MYC_ChIP-Seq_MESC_Mouse	3.17e-25	-2.0	106.43	RPL3, TFRC, MCM7, ARL6IP1, MIR16, CETN3, ATP5C1, ALAD, EEF1B2, RPL7A, FNTB, NUSAP1, RPLP2, BNIP3L, KLF13, RPS8, RPL23, IFRD2, ATPIF1, H2AFX, RPS3A, RANGAP1, THOC4, EEF1G, TUBB2C, MCM5, MCM6, ATF4, MCM2, UHRF1, ODC1, RPL36A, RPS27L, DLST, NT5C3, PRDX2, BAG1, E2F1, RPS2, HSPA8, SLMO2, FAHD1, PHF10, PDAP1, ASNS, SFRS2, LSM4, SFRS1, SOD1, CSDA, EIF5, SLC6A9, PRC1, RPS29, RPS24
12	MYCN_ChIP-Seq_MESC_Mouse	1.95e-29	-1.54	96.28	DYRK3, ISCA1, FEN1, RPL3, CMAS, TFRC, LDB1, ARL6IP1, CETN3, ETFA, HS6ST1, ALAD, FTL1, TUBA1B, RPS16, MYD116, FTH1, NPTN, TLK1, RPLP2, KNTC1, TAPT1, RAB8B, ACSL1, GLRX5, DYNLL1, PRKAB1, THOC4, HCFC1, NDUFS7, MORF4L2, PSME3, HAT1, MCM4, BIRC5, PABPC1, HAGH, UBA52, TBCEL, GGNBP2, ABCB4, ODC1, CLCN3, ADIPOR1, DNAJB1, PRDX2, CCNB1, BTAF1, UBB, FIGNL1, E2F1, CDT1, 2510006D16RIK, RPL41, 3110056O03RIK, SIVA1, TXNRD2, RPA1, HRAS1, PDAP1, ORC6L, MT1, SFRS2, SFRS1, SOD1, RPS26, 1700037H04RIK, PHF5A, EIF5, SLC25A39, RPS29, MAFG, MKRN1, KLF9, CENPL, ANP32E, HDGF, NCAPD3, GCLM, AARS
13	KLF4_ChIP-Seq_MESC_Mouse	2.13e-29	-1.52	94.9	RB1, DYRK3, ISCA1, AHCTF1, RNF11, TFRC, LDB1, ETFA, COMT, HS6ST1, EEF1B2, TUBA1B, 6330505N24RIK, KNTC1, FADS1, RAB8B, MAP2K3, GPX1, RPS8, SPHK1, PABPC4, DAPK2, IFRD2, GLRX5, RPL23, RPS3A, GTPBP2, RANGAP1, PRKAB1, THOC4, HCFC1, 1810027O10RIK, A630082K20RIK, TFDP2, NDUFS7, PACS2, CYB5, BOLA3, TXNIP, BIRC5, BLVRB, PABPC1, HAGH, CD47, ABCG4, UHRF1, WBP2, COX17, CLCN3, ADIPOR1, CENPA, DNAJB1, SRR, FCHO1, BAG1, E2F1, RPS2, CDR2, RBM38, CAR2, 2510006D16RIK, RPL41, 3110056O03RIK, SIVA1, SMOX, SEMA4B, RPA1, BSDC1, ASNS, ORC6L, LSM4, SOD1, D17WSU92E, 1700037H04RIK, PHF5A, EIF5, SLC25A39, PQLC1, COL5A1, UBE2O, HDGF, SERINC1, SERINC3
14	MYBL2_ChIP-ChIP_MESC_Mouse	1.29e-24	-1.83	94.85	RPL3, MCM7, ARL6IP1, CETN3, HIST2H2AB, UBE2L6, TUBA1B, TUBB5, FTH1, NUSAP1, HIST1H2AD, HIST1H2AG, KNTC1, HIST1H2AF, LBR, BCAS2, HIST1H1C, BNIP3L, HIST1H2AN, GPX1, D12ERTD647E, HIST1H2AI, HIST1H2AH, RPS8, RPL23, ARRDC3, H2AFX, DNTTIP1, KIF22, RANGAP1, THOC4, EEF1G, TUBB2C, HIST2H3B, MORF4L2, HAT1, 1100001G20RIK, TXNIP, BLVRB, RPL24, ANAPC5, EG626175, WBP2, RPL36A, CDCA8, EG667728, 2310003F16RIK, CCNB1, FZR1, UBB, NUP85, BAG1, SLC38A2, HIST1H3E, NFE2, HSPA8, RPL41, H3F3B, EIF2AK1, SEMA4B, MT1, RPS26, PHF5A, PRC1, MKRN1, KLF9, CENPL, ANP32E, HDGF, GCLM, SSBP3, RPS24, AARS
