	Term	p-value	z-score	CS	Related Genes
1	SLC2A4	2.66e-28	-1.21	70.16	EIF4A1, HIBADH, RPL31, ARPC1B, ENO1, RPL10A, RPL9, ACTB, RPS14, LGALS1, ALDH2, RPS19, ACADM, ATP6V1E1, RPS11, PRKACB, RPS13, RPS12, CAP1, PDIA3, RPS9, SSR4, ANXA2, ACTN1, STX7, RPS6, NME2, MIF, PGD, APRT, EEF1A1, MYL4, ACLY, PSMA4, ERP29, RPL27, SGK1, PFN1, SLC25A5, GAPDH, VCP, RPN2, GSTP1, LYZ2, ATP1A1, COX5A, GNAI2, PRDX5, LDHA, RPS3, RPL18, ATP6V1D, PKM2, DSTN, PPP1CA, GNB2, MAN2B1, DYNLRB1, P4HB
2	IL7R	6.87e-14	-1.83	47.63	PDIA3, VCP, GSTP1, F13A1, ARPC5, ENO1, ACTB, APRT, MYL6, LGALS1, ZYX, COTL1, ERP29, PTPN6, TAGLN2, P4HB, LCP1, PFN1, GAPDH, CLIC1
3	ACTB	1.74e-16	-1.43	44.77	APP, ARPC1B, WAS, ARRB2, IQGAP1, ENO1, CORO1A, ACTB, GNAI2, PSTPIP1, LASP1, RPS19, TMSB4X, RAC2, RPL18, S100A11, RPS13, RPS12, MCL1, CAP1, RPS9, ANXA2, ACTN1, DSTN, ARPC5, MYL4, EEF1A1, MYL6, MARCKS, ARPC3, ZYX, PFN1, GAPDH
4	GABARAPL1	7.31e-15	-1.27	35.4	EIF4A1, RPL31, GSTP1, ENO1, RPL10A, RPL9, PIK3CG, ACTB, ATP5L, RPS14, LDHA, ALDH2, RPS19, RASSF5, RPS3, ACADM, RPL18, CLIC1, S100A11, RPS13, PDIA3, RPS9, SSR4, ANXA2, PKM2, ACTN1, RPS6, MIF, EEF1A1, MYL6, RPL27, TAGLN2, PFN1, SLC25A5, GAPDH, PPIA, S100A8
5	EIF1B	1.81e-10	-1.57	29.34	RPS9, ANXA2, RPL32, SSR4, RPL31, DSTN, TALDO1, MIF, TBCA, RHOB, RPS14, MYL6, RPS19, TAGLN2, EIF3F, RPS11, RPL29, GAPDH
6	GC20	2.20e-09	-1.74	29.12	RPS9, ANXA2, RPL32, SSR4, RPL31, TALDO1, DSTN, MIF, TBCA, EIF3S5, RPS14, MYL6, RPS19, CALM3, TAGLN2, RPS11, RPL29
7	HNRNPK	3.28e-10	-1.55	28.4	EIF4A1, CEBPB, ANXA2, RPL31, MIF, ARRB2, IQGAP1, ENO1, RPL9, ACTB, VAV1, EEF1A1, RPS14, RPS19, ALDH2, RPS3, CSK, PRKACB, S100A11
8	IKBKE	1.00e-11	-1.08	23.03	VCP, RPL32, RPL31, GLO1, PYGL, ACTB, RPS14, PRDX5, RPS19, COTL1, RPS11, CLIC1, TPD52, RPS9, ANXA2, DSTN, TALDO1, TBCA, MIF, PGD, APRT, EEF1A1, ACLY, MYL6, GNB2, ERP29, CALM3, TAGLN2, PLP2, EIF3F, PFDN5
9	YWHAZ	4.29e-10	-1.22	22.23	EIF4A1, APP, VCP, RPL31, PNKP, LRMP, ENO1, IQGAP1, RPL10A, ACTB, LDHA, LGALS1, RPS3, PGLYRP1, PRKACB, NADK, MARK2, TPD52, NAPSA, ANXA2, PKM2, NME2, SCAMP2, EEF1A1, ADSSL1, EIF3F, P4HB, PFN1, GAPDH, PPIA
10	GRB2	2.35e-11	-1.07	22.0	EIF4A1, APP, WDR1, RPL31, GSTP1, POMP, WAS, HP, ENO1, IQGAP1, PIK3CG, RPS14, CCL5, RPS6KA1, RPS3, RPL18, RPS11, B2M, NADK, RPS13, RPS9, CD72, ANXA2, PKM2, ACTN1, ARPC5, VAV1, EEF1A1, MYL6, DOK3, SELL, ARPC3, RPL27A, BTK, LY6D, RIN3, PTPN6, RPL27, HCST, PPIA
11	ESR1	3.09e-10	-1.18	21.59	EIF4A1, CEBPB, RPN2, IQGAP1, RPL10A, RPL9, ACTB, RPS14, RPL36AL, RPS6KA1, RPS3, RPL18, RPS11, JUNB, RPS13, RPS12, RPS9, ANXA2, LMO4, ACTN1, RPS6, FOS, PPP1CA, PSMB9, MYL6, RPL27A, GNB2, CALM3, PTPN6, SLC25A5, RPL29, GAPDH, S100A8
12	GABARAPL2	5.69e-10	-1.13	20.23	EIF4A1, RPL31, GSTP1, RPL34, ENO1, PYGL, RPL10A, RPL9, ACTB, GM2A, RPS19, RASSF5, RPS3, CKB, RPL18, RPS11, RPS13, PDIA3, RPS9, SSR4, ANXA2, PKM2, RPS6, MIF, EEF1A1, RPL27, P4HB, PFN1, SLC25A5, GAPDH, PPIA
13	VCL	1.14e-07	-1.51	19.8	PDIA3, ANXA2, ACTN1, MIF, ACTB, EIF3S5, EEF1A1, MYL6, LGALS1, RPS19, PFN1, B2M, GAPDH
14	DLG4	3.99e-08	-1.17	16.48	CAP1, PDIA3, EIF4A1, SEPT11, PKM2, GSTP1, ACTN1, LYZ2, DSTN, DBI, ENO1, IQGAP1, ATP1B1, AKR1A4, GNAI2, EEF1A1, RPS14, MYL6, LDHA, ALDH2, RPS3, SLC25A5, PFN1, GAPDH
15	VHL	1.66e-07	-1.28	16.4	MCTS1, RPS9, ANXA2, CYBA, MIF, TBCA, COX5A, APRT, ACLY, KRTCAP2, MYL6, RPS19, COTL1, CALM3, TAGLN2, P4HB, PLP2, RPL29, PFDN5, S100A11
16	231403	9.07e-07	-1.29	14.63	MCTS1, RPS9, VCP, ANXA2, RPL32, PYGL, MIF, TBCA, PGD, ATP5L, EIF3S5, RPS14, MYL6, CALM3, TAGLN2, RPL29, CLIC1, S100A11
17	ARRB2	2.54e-07	-1.13	14.15	VCP, RPN2, ANXA2, PKM2, RPL31, RPS6, CXCR4, ARRB2, ACTB, EEF1A1, MYL6, RPS19, BOLA2, RPS3, P4HB, RPL18, PPIA, CLIC1, GAPDH, RPS13
18	EIF2C2	1.66e-06	-1.25	13.52	RPS9, SSR4, RPL31, RPS6, RPL10A, EEF1A1, RPL27A, RPS3, RPL27, SLC25A5, RPL18, RPL29, RPS13
19	GABARAP	1.75e-07	-1.05	13.48	EIF4A1, RPL31, GSTP1, ENO1, RPL10A, RPL9, ACTB, RPS14, RASSF5, RPS3, CKB, RPL18, RPS13, RPS9, SSR4, RPS6, H2AFV, MIF, EEF1A1, RPL27, PFN1, SLC25A5, GAPDH, PPIA, VPS28
20	ITGB1	8.66e-06	-1.14	10.7	PDIA3, CD63, LGALS3, VCP, LGALS1, ACTN1, NME2, SPP1, CD9, CSK, LTB
