	Term	p-value	z-score	CS	Related Genes
1	Electron Transport Chain (Homo Sapiens)	8.77e-11	-1.98	35.44	NDUFA9, NDUFA7, NDUFB8, NDUFA3, NDUFA2, ATP5C1, ATP5G3, ATP5G2, COX6C, COX5A, UQCRH, ATP5J2, ATP5L, COX6B1, ATP5B, COX7A2L, UQCRC2, NDUFV2, SLC25A5
2	Electron Transport Chain (Mus Musculus)	7.09e-10	-1.91	31.54	NDUFA9, NDUFA7, NDUFB8, NDUFA3, NDUFA2, ATP5C1, ATP5G3, ATP5G2, COX5A, ATP5J2, ATP5L, COX6B1, ATP5B, COX7A2L, UQCRC2, NDUFV2, SLC25A5
3	Cytoplasmic Ribosomal Proteins (Homo Sapiens)	1.36e-09	-1.88	30.54	RPL41, RPS9, RPL31, RPS8, RPLP1, RPS5, RPL13A, RPL10A, RPS26, RPS4X, RPS14, RPS25, RPL27A, RPS6KA1, RPS3, RPS2, RPL29, RPS11, RPS12
4	Cytoplasmic Ribosomal Proteins (Mus Musculus)	2.19e-09	-1.82	29.21	RPL31, RPS8, RPS5, RPL13A, RPL10A, RPS26, RPS14, RPS25, RPL36AL, RPL27A, RPS6KA1, RPS3, RPS2, RPS11, RPS12
5	Oxidative Phosphorylation (Mus Musculus)	2.75e-07	-1.89	21.56	NDUFA9, ATP5B, NDUFA7, NDUFB8, NDUFA3, NDUFA2, ATP5G3, ATP5G2, NDUFV2, ATP5J2, ATP5L
6	Oxidative Phosphorylation (Homo Sapiens)	1.09e-06	-1.86	19.08	NDUFA9, ATP5B, NDUFA7, NDUFB8, NDUFA3, NDUFA2, ATP5G3, ATP5G2, NDUFV2, ATP5J2, ATP5L
7	Proteasome Degradation (Mus Musculus)	5.05e-05	-1.71	11.2	H2AFZ, HIST1H2AH, HIST1H2AK, PSMB1, HIST1H2AD, PSMA7, PSMB10, PSMB8, PSMB9
8	Selenium Micronutrient Network (Homo Sapiens)	7.77e-03	-1.68	3.15	PRDX5, GPX1, PRDX4, GPX4, IL1B, ALOX5AP, MPO
9	Translation Factors (Mus Musculus)	7.36e-03	-1.66	3.12	EEF1A1, EEF1B2, EEF1G, EIF3I, EIF4H
10	Proteasome Degradation (Homo Sapiens)	7.53e-03	-1.63	3.06	H2AFZ, PSMB1, PSMA7, PSMB10, PSMB8, PSMB9
