	Mp0000313 Abnormal Cell Death 	Mp0000350 Abnormal Cell Proliferation 	Mp0000689 Abnormal Spleen Morphology 	Mp0000703 Abnormal Thymus Morphology 	Mp0000716 Abnormal Immune System 	Mp0000858 Altered Metastatic Potential 	Mp0001533 Abnormal Skeleton Physiology 	Mp0001800 Abnormal Humoral Immune 	Mp0001819 Abnormal Immune Cell 	Mp0001835 Abnormal Antigen Presentation 	Mp0001845 Abnormal Inflammatory Respons 	Mp0001853 Heart Inflammation 	Mp0002019 Abnormal Tumor Incidence 	Mp0002080 Prenatal Lethality 	Mp0002083 Premature Death 	Mp0002086 Abnormal Extraembryonic Tissu 	Mp0002148 Abnormal Hypersensitivity Rea 	Mp0002398 Abnormal Bone Marrow 	Mp0002405 Respiratory System Inflammati 	Mp0002419 Abnormal Innate Immunity 	Mp0002420 Abnormal Adaptive Immunity 	Mp0002429 Abnormal Blood Cell 	Mp0002452 Abnormal Antigen Presenting 	Mp0002722 Abnormal Immune System 	Mp0002723 Abnormal Immune Serum 	Mp0002998 Abnormal Bone Remodeling 	Mp0003077 Abnormal Cell Cycle 	Mp0003111 Abnormal Nucleus Morphology 	Mp0003436 Decreased Susceptibility To 	Mp0003656 Abnormal Erythrocyte Physiolo 	Mp0003795 Abnormal Bone Structure 	Mp0005000 Abnormal Immune Tolerance 	Mp0005025 Abnormal Response To 	Mp0005390 Skeleton Phenotype 	Mp0005636 Abnormal Mineral Homeostasis 	Mp0008469 Abnormal Protein Level 	Mp0009763 Increased Sensitivity To 	Mp0009785 Altered Susceptibility To 	Mp0009931 Abnormal Skin Appearance 
Mp0000313 Abnormal Cell Death 	0.0	0.856236786469	0.95375	0.960930232558	0.95145631068	0.907692307692	0.966783216783	0.996763754045	0.963683527886	1.0	1.0	0.971428571429	0.987654320988	0.96015936255	0.979797979798	0.975346687211	0.959493670886	0.934895833333	0.977443609023	0.980909601348	0.95328884652	0.976635514019	0.954990215264	0.858267716535	0.978142076503	0.93374422188	0.972055888224	0.942386831276	0.741573033708	0.85838150289	0.964622641509	0.957562568009	0.956310679612	0.948595337717	0.936411149826	0.962365591398	0.971272229822	0.942434210526	0.966876971609
Mp0000350 Abnormal Cell Proliferation 	0.856236786469	0.0	0.808102345416	0.874396135266	0.96933560477	0.611519607843	0.851119894598	0.98801369863	0.891170431211	0.990909090909	0.994094488189	0.897286821705	0.972286374134	0.922147651007	0.954545454545	0.950055493896	0.8928	0.658362989324	0.972192513369	0.971035837015	0.918431372549	0.972857142857	0.86013986014	0.882583170254	0.945945945946	0.81914893617	0.955380577428	0.904276985743	0.875668449198	0.888157894737	0.883429672447	0.772051536174	0.905077262693	0.851351351351	0.655326768129	0.934831460674	0.936148300721	0.795306388527	0.766798418972
Mp0000689 Abnormal Spleen Morphology 	0.95375	0.808102345416	0.0	0.822793606671	0.964367816092	0.772336769759	0.816616008105	0.975750577367	0.83685545224	0.993197278912	0.986180904523	0.866317169069	0.976519337017	0.910802775025	0.964095744681	0.922810060711	0.892376681614	0.765229295003	0.960297766749	0.947183098592	0.855092276145	0.957905544148	0.807939914163	0.9375	0.968960863698	0.800611620795	0.942884801549	0.925257731959	0.9243140965	0.924778761062	0.817073170732	0.733498349835	0.931174089069	0.825540472599	0.766803840878	0.959459459459	0.904369332234	0.793273986152	0.827783063749
Mp0000703 Abnormal Thymus Morphology 	0.960930232558	0.874396135266	0.822793606671	0.0	0.961301671064	0.713102409639	0.772881355932	0.942934782609	0.664516129032	0.974874371859	0.967711301045	0.91571969697	0.989108910891	0.748638838475	0.969844357977	0.894698620189	0.92085106383	0.605087014726	0.920646067416	0.893123446562	0.832138590203	0.919933277731	0.852310231023	0.962929475588	0.979472140762	0.430672268908	0.904153354633	0.942070275404	0.91583779648	0.947899159664	0.637077769049	0.694244604317	0.9662487946	0.428828828829	0.599730458221	0.953140578265	0.861288039632	0.873873873874	0.852807283763
Mp0000716 Abnormal Immune System 	0.95145631068	0.96933560477	0.964367816092	0.961301671064	0.0	0.977678571429	0.986068111455	1.0	0.934567901235	0.939252336449	0.993150684932	0.982658959538	1.0	0.973730297723	0.992424242424	0.977559607293	0.969631236443	0.977830562154	0.976616231087	0.978249048396	0.959713518353	0.987903225806	0.984719864177	0.985673352436	1.0	0.971590909091	0.941499085923	0.98738170347	0.925989672978	0.970852017937	0.94748603352	0.976976976977	0.989130434783	0.958880639634	0.976910828025	0.988188976378	0.977443609023	0.925531914894	0.980141843972
Mp0000858 Altered Metastatic Potential 	0.907692307692	0.611519607843	0.772336769759	0.713102409639	0.977678571429	0.0	0.485275288092	0.978482446206	0.771201413428	0.993333333333	0.987684729064	0.898623279099	0.97975708502	0.88040201005	0.970168612192	0.92747440273	0.913326110509	0.355334538879	0.965853658537	0.948908296943	0.879310344828	0.956433637285	0.815983175605	0.925700365408	0.966843501326	0.653950953678	0.935576923077	0.910141206675	0.890173410405	0.922489082969	0.787128712871	0.498062015504	0.935356200528	0.721587819467	0.37106918239	0.926128590971	0.904645476773	0.81135707411	0.78814382896
Mp0001533 Abnormal Skeleton Physiology 	0.966783216783	0.851119894598	0.816616008105	0.772881355932	0.986068111455	0.485275288092	0.0	0.980922098569	0.792735042735	0.991836734694	0.989189189189	0.88868940754	0.985655737705	0.886422976501	0.976967370441	0.944915254237	0.92774566474	0.644038294169	0.973604060914	0.971236816874	0.914958238421	0.966397849462	0.80027739251	0.931153184165	0.953535353535	0.772369362921	0.943820224719	0.913123844732	0.946808510638	0.941690962099	0.815866797258	0.543502824859	0.941860465116	0.819209039548	0.639789658195	0.926229508197	0.925595238095	0.868757259001	0.841363102233
Mp0001800 Abnormal Humoral Immune 	0.996763754045	0.98801369863	0.975750577367	0.942934782609	1.0	0.978482446206	0.980922098569	0.0	0.965895249695	1.0	0.798283261803	0.969512195122	0.990566037736	0.938775510204	0.967213114754	0.872239747634	0.961711711712	0.967663702506	0.951149425287	0.931232091691	0.947754353804	0.786069651741	0.982578397213	0.991097922849	0.991489361702	0.957848837209	0.96897810219	0.996732026144	0.986710963455	0.988636363636	0.959641255605	0.976649746193	0.992395437262	0.957949308756	0.967506092608	0.991701244813	0.910326086957	0.986842105263	0.982683982684
Mp0001819 Abnormal Immune Cell 	0.963683527886	0.891170431211	0.83685545224	0.664516129032	0.934567901235	0.771201413428	0.792735042735	0.965895249695	0.0	0.970674486804	0.970548862115	0.894385026738	0.982633863965	0.761960326721	0.969401947149	0.898444647758	0.925339366516	0.765897973445	0.933508311461	0.922161172161	0.810319767442	0.929901423877	0.8740818468	0.965043695381	0.986033519553	0.704177897574	0.900938477581	0.962190352021	0.908639523337	0.947012401353	0.37686139748	0.789814066289	0.967123287671	0.721202003339	0.763176387913	0.969014084507	0.876414273281	0.868899521531	0.901563937443
Mp0001835 Abnormal Antigen Presentation 	1.0	0.990909090909	0.993197278912	0.974874371859	0.939252336449	0.993333333333	0.991836734694	1.0	0.970674486804	0.0	0.992424242424	0.978609625668	0.984848484848	0.995271867612	1.0	0.996466431095	0.99358974359	0.994661921708	0.993091537133	0.993555946104	0.990927419355	1.0	0.995402298851	1.0	1.0	0.992957746479	0.98296836983	1.0	0.995661605206	0.996632996633	0.973718791064	0.995332555426	1.0	0.981617647059	0.994633273703	1.0	0.996937212864	0.987012987013	0.992779783394
