	marrow_up	spleen_up	marrow_dn	spleen_dn
Mp0000313 Abnormal Cell Death 	1.90308998699	2.51712641639	6.80134291305	2.37571790416
Mp0000350 Abnormal Cell Proliferation 	0.0	0.0	6.52287874528	3.07675598137
Mp0000689 Abnormal Spleen Morphology 	8.20830935098	5.20342566679	4.19586056766	10.343901798
Mp0000703 Abnormal Thymus Morphology 	3.69036983257	1.85387196432	2.05354773499	7.1402614338
Mp0000716 Abnormal Immune System 	27.4056074496	14.3205721034	1.54211810327	22.6401645177
Mp0001533 Abnormal Skeleton Physiology 	5.83863199777	4.72584215074	0.0	1.69680394258
Mp0001800 Abnormal Humoral Immune System 	12.4225082002	6.52870828894	0.0	10.785156152
Mp0001819 Abnormal Immune Cell 	33.8416375079	20.5376020021	0.0	27.6777807053
Mp0001835 Abnormal Antigen Presentation 	5.49079747767	4.92811799269	0.0	2.29413628772
Mp0001845 Abnormal Inflammatory Response 	12.1890957193	9.56703070913	1.30980391997	5.52578373592
Mp0002019 Abnormal Tumor Incidence 	3.25026368443	2.339134522	3.67985371389	5.17263072695
Mp0002080 Prenatal Lethality 	1.66756154008	0.0	12.2636034977	9.27327279097
Mp0002086 Abnormal Extraembryonic Tissue 	0.0	0.0	4.36451625319	5.14327110962
Mp0002148 Abnormal Hypersensitivity Reaction 	7.79048498546	4.70774392864	0.0	6.32975414693
Mp0002398 Abnormal Bone Marrow 	19.5421181033	5.84466396253	9.39902710431	21.8632794328
Mp0002405 Respiratory System Inflammation 	8.20830935098	4.77211329539	0.0	2.22184874962
Mp0002419 Abnormal Innate Immunity 	25.5157001607	22.0840727883	0.0	5.10790539731
Mp0002420 Abnormal Adaptive Immunity 	33.9829666607	19.801342913	0.0	28.6038006529
Mp0002429 Abnormal Blood Cell 	27.6946486306	13.2041199827	11.0777937226	24.7033348097
Mp0002452 Abnormal Antigen Presenting 	23.9665762445	15.9871627753	0.0	17.1444808443
Mp0002722 Abnormal Immune System 	11.408935393	5.48017200622	5.40893539297	13.189767482
Mp0002723 Abnormal Immune Serum 	25.7166987713	10.5391021572	0.0	22.7033348097
Mp0002998 Abnormal Bone Remodeling 	5.29929628285	3.08512818246	0.0	1.61261017366
Mp0003077 Abnormal Cell Cycle 	0.0	0.0	6.31069114088	2.40560744962
Mp0003111 Abnormal Nucleus Morphology 	0.0	0.0	9.11520463605	0.0
Mp0003436 Decreased Susceptibility to Induced Arthritis 	4.88605664769	5.18909571933	0.0	1.75202673364
Mp0003656 Abnormal Erythrocyte Physiolo 	0.0	0.0	11.5968794788	0.0
Mp0005000 Abnormal Immune Tolerance 	9.74232142513	8.13786862069	0.0	6.91009488856
Mp0005025 Abnormal Response To 	18.793174124	13.4841261563	1.56863623584	5.99567862622
Mp0005621 Abnormal Cell Physiology 	1.3767507096	0.0	1.97469413474	6.19449914184
Mp0005636 Abnormal Mineral Homeostasis 	0.0	1.61798295743	5.96257350206	2.20481541032
Mp0008469 Abnormal Protein Level 	6.95467702121	3.13430394008	3.73518217699	2.56224943718
Mp0009763 Increased Sensitivity to Induced Morbidity 	6.75448733219	6.0357403698	4.3142582614	5.71444269099
Mp0009785 Altered Susceptibility to Infection Induced Morbidity 	8.02090709936	4.15119529895	0.0	2.42365864979
