Rank	score	Perturbation	Perturbation LIFE URL	Perturbation PubChem URL	Perturbation DrugBank URL	Cell-line	Dose	Time	Signature URL
1	0.0446	BRD-A36630025	http://life.ccs.miami.edu/life/summary?mode=SmallMolecule&source=BROAD&input=BRD-A36630025	http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=4014291	None	MCF7	0.35um	24.0h	http://amp.pharm.mssm.edu/L1000CDS2/meta?sig_id=CPC006_MCF7_24H:BRD-A36630025:0.35
2	0.0413	QUINACRINE HYDROCHLORIDE	http://life.ccs.miami.edu/life/summary?mode=SmallMolecule&source=BROAD&input=BRD-A45889380	http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=23581813	None	A375	10.0um	24.0h	http://amp.pharm.mssm.edu/L1000CDS2/meta?sig_id=CPC006_A375_24H:BRD-A45889380:10.0
3	0.0397	BMS-754807	http://life.ccs.miami.edu/life/summary?mode=SmallMolecule&source=BROAD&input=BRD-K13049116	http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=24785538	None	A375	10.0um	24.0h	http://amp.pharm.mssm.edu/L1000CDS2/meta?sig_id=CPC006_A375_24H:BRD-K13049116:10.0
4	0.0380	PP-110	http://life.ccs.miami.edu/life/summary?mode=SmallMolecule&source=BROAD&input=BRD-K03618428	http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=24905203	None	A375	22.2um	24.0h	http://amp.pharm.mssm.edu/L1000CDS2/meta?sig_id=CPC006_A375_24H:BRD-K03618428:22.2
5	0.0380	4-Demethoxydaunorubicin hydrochloride (65)	http://life.ccs.miami.edu/life/summary?mode=SmallMolecule&source=BROAD&input=BRD-A71390734	http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=42594	None	MCF7	0.08um	24.0h	http://amp.pharm.mssm.edu/L1000CDS2/meta?sig_id=CPC006_MCF7_24H:BRD-A71390734:0.08
6	0.0380	BJM-ctd2-9	http://life.ccs.miami.edu/life/summary?mode=SmallMolecule&source=BROAD&input=BRD-M86331534	http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=73707397	None	MCF7	10.0um	24.0h	http://amp.pharm.mssm.edu/L1000CDS2/meta?sig_id=CPC006_MCF7_24H:BRD-M86331534:10.0
7	0.0380	BRD-K98490050	http://life.ccs.miami.edu/life/summary?mode=SmallMolecule&source=BROAD&input=BRD-K98490050	http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=3926765	None	MCF7	10.0um	24.0h	http://amp.pharm.mssm.edu/L1000CDS2/meta?sig_id=CPC015_MCF7_24H:BRD-K98490050:10.0
8	0.0347	BRD-K04853698	http://life.ccs.miami.edu/life/summary?mode=SmallMolecule&source=BROAD&input=BRD-K04853698	http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=25195294	None	HCC515	10.0um	24.0h	http://amp.pharm.mssm.edu/L1000CDS2/meta?sig_id=CPC006_HCC515_24H:BRD-K04853698:10.0
9	0.0331	NICLOSAMIDE	http://life.ccs.miami.edu/life/summary?mode=SmallMolecule&source=BROAD&input=BRD-K35960502	http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=4477	http://www.drugbank.ca/drugs/DB06803	HCC515	10.0um	24.0h	http://amp.pharm.mssm.edu/L1000CDS2/meta?sig_id=CPC004_HCC515_24H:BRD-K35960502:10.0
10	0.0331	IMD 0354	http://life.ccs.miami.edu/life/summary?mode=SmallMolecule&source=BROAD&input=BRD-K74305673	http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=5081913	None	HCC515	10.0um	24.0h	http://amp.pharm.mssm.edu/L1000CDS2/meta?sig_id=CPC006_HCC515_24H:BRD-K74305673:10.0
