	exp	t-stat	p-value
0610008F07RIK	3.67053823243	-2.94151559005	0.0956761485138
0710001C05RIK	-1.40924781873	5.63215626652	0.00495475032251
1110005F07RIK	3.52173846686	-10.8369465606	0.00755229200807
1110006O17RIK	-4.31158615067	9.06579722061	0.00729143837657
1110012N22RIK	1.72845409431	-2.72339923792	0.0555870236768
1110020G09RIK	-1.79064756566	2.78257721176	0.0954051203008
1110029I05RIK	-1.53301281466	5.30822769789	0.00979184833765
1110029L17RIK	-1.16302449954	5.43027656611	0.0196747601444
1110037P13RIK	-1.73017057362	13.1331566743	0.000955259671367
1110049N09RIK	1.06593427018	-2.48679596581	0.0930755417214
1110064P04RIK	2.39023410828	-2.79330409564	0.0536531061692
1110068E08RIK	1.14613147546	-3.63543487093	0.0224903594991
1190005F20RIK	1.6582838841	-6.74855033908	0.00457368083368
1190007F08RIK	-1.78286233348	10.0540089047	0.00164582284494
1190008K20RIK	-2.09029846501	4.85460529252	0.0364619950411
1190028F09	2.00493229554	-7.54249179437	0.0024381968379
1300002E11RIK	-4.71881824746	3.98348237954	0.0576259337775
1300017J02RIK	-1.67521802999	3.17215992433	0.076921440718
1500031L02RIK	1.01340169115	-3.48556189285	0.0461573819768
1600012K10RIK	-5.38082178394	3.38367119697	0.077344804173
1700003B17RIK	3.04836302156	-4.85071250073	0.00987291833102
1700006J14RIK	1.73389276012	-2.37431939304	0.0873803986806
1700009C05RIK	-4.82926969849	2.90642324149	0.0999447874561
1700010C24RIK	-1.7215355536	2.69663131497	0.0627974439289
1700013G24RIK	-5.69116190455	3.08474484218	0.0909767225053
1700013N18RIK	-1.05987145598	2.65745535532	0.0986925404193
1700015E13RIK	-1.96541976829	2.58815723275	0.0652513153274
1700019J19RIK	1.94460176134	-3.03399182316	0.0839690191653
1700023B23RIK	1.24075925172	-2.74420094976	0.0520119512548
1700024B05RIK	5.63420601974	-7.1929037306	0.0187852964363
1700025H01RIK	-2.30844486552	3.60480295114	0.0304798432394
