	exp	t-stat	p-value
HBA-A1	-0.250718163267	1.87582600495	0.179293244954
LYZ	0.207988859551	-0.940187605689	0.44631947354
IGLC2_J00595_IG_LAMBDA_CONSTANT_2_14	0.206524630879	1.31123467539	0.313228071089
IGKV3-2_X16954_IG_KAPPA_VARIABLE_3-2_18	0.172425728918	1.42413798983	0.289610160248
LOC641240	-0.165123120312	-1.49162239947	0.263948123172
HBB-B1	-0.152663355645	-1.02196507154	0.383612495727
CYTIP	-0.146495877423	0.904977987721	0.438452970213
IGH-VJ558	-0.144901480994	-1.10999779833	0.344130886209
LOC100048105	-0.128798305909	0.954490027679	0.395673894618
HIST1H2AO	0.123994529139	3.57521805901	0.0243666598052
H2-EA	-0.121245497092	2.84637005745	0.0860588826231
LYZ2	0.117009414805	3.01140718857	0.0483067988087
IGH-6	0.116489592149	-0.170503642597	0.878943516728
S100A8	0.115143052713	1.99037002167	0.130512657761
UBG	-0.109530161815	-0.342963548056	0.749374702476
LOC381774	0.106414158858	0.527589343584	0.646767405536
HIST1H2AF	0.10451362428	1.52046190916	0.254064995293
IGL-V1	0.10343424029	0.136930639376	0.901934904473
HIST1H2AI	0.102561686306	-0.961346829002	0.435333351592
LOC386520	0.10151633672	-1.40094790628	0.261667651279
HIST1H1C	-0.0968403031635	-0.603517606614	0.581763447505
IGKV2-137_AJ231263_IG_KAPPA_VARIABLE_2-137_15	0.0965351931831	-2.75583810623	0.100118775449
EG667728	0.0950350675235	3.14857088142	0.0547335506886
LOC100047788	-0.092925776304	-1.81257301772	0.20535452031
LAPTM5	-0.0925708505003	-1.1798208338	0.30622838191
LCN2	0.0924741317075	-4.02383832364	0.0206593892985
SH3BGRL3	0.087384690076	2.72421891378	0.0762848021597
SLPI	0.086480139638	2.59554273809	0.0717768840326
LOC676222	0.0849830626703	-0.550323219386	0.626176042622
S100A9	0.0837526758574	0.147867628513	0.892690888787
CD83	-0.0787688014556	-1.28543624182	0.320051456649
LOC665506	-0.0782504141941	-0.481869424652	0.663578372909
RN18S	-0.0781765292733	0.483230469884	0.668718511615
HIST1H2AD	0.0774869033063	-0.0407075004148	0.970889685802
RETNLG	0.0763370758938	3.27546303693	0.0537189231756
IGK-C	-0.0746015074868	1.39680011658	0.236447315088
D6MIT97	0.0744509420015	0.447723067515	0.682747357301
FCER1G	0.0726197631682	-2.28599384496	0.102659391647
LOC622994	0.072426755191	-1.80087048042	0.206891899046
ERAF	-0.0723841889729	-0.619155099727	0.569446525246
FOS	0.0708228715583	6.23230769262	0.0217774192019
IGK-V5	0.0702603400988	0.687131908055	0.550183495338
ERDR1	-0.0696307984598	0.40345105859	0.709390516768
CD74	-0.0696200805381	3.36134480694	0.0614039135579
